2R mammals	species	from mammals	Altschul inversion mammals only det=6.10-13	With lambda=+0.1 det=10-9
Human	hsapiens	0.010276	0.0147315	0.0244627
Cat	fcatus	0.0613768	0.0879892	0.0981659
Chimpanzee	ptroglodytes	0.010276	0.0147315	0.0244627
Cow	btaurus	0.042379	0.0607541	0.0724013
Dog	cfamiliaris	0.0613768	0.0879892	0.0981659
Gorilla	ggorilla	0.0129923	0.0186256	0.0260883
Horse	ecaballus	0.0787132	0.112842	0.118341
Macaque	mmulatta	0.0154516	0.0221512	0.0315987
Marmoset	cjacchus	0.0579402	0.0830625	0.0802307
Mouse	mmusculus	0.0588736	0.0844005	0.094411
Olive baboon	panubis	0.0175612	0.0251756	0.0326621
Opossum	mdomestica	0.338773	0.485662	0.472595
Orangutan	pabelii	0.0203927	0.0292347	0.0327142
Pig	sscrofa	0.0633465	0.0908129	0.0985872
Rabbit	ocuniculus	0.101183	0.145055	0.145858
Rat	rnorvegicus	0.0568671	0.0815241	0.0933928
Sheep	oaries	0.0383498	0.0549779	0.0693434
Vervet-AGM	csabaeus	0.0190102	0.0272528	0.0336572
